timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598714901037,70,https://www.demoblaze.com//prod.html?idp_=4 10 uses 10 threads - 5,200,OK,https://www.demoblaze.com 1-4,text,true,,22049,138,9,9,https://www.demoblaze.com/prod.html?idp_=4,56,0,0
1598714900960,167,https://www.demoblaze.com//prod.html?idp_=1 10 uses 10 threads - 2,200,OK,https://www.demoblaze.com 1-1,text,true,,5284,138,9,9,https://www.demoblaze.com/prod.html?idp_=1,165,0,0
1598714900763,385,https://www.demoblaze.com//prod.html?idp_=2 10 uses 10 threads - 7,200,OK,https://www.demoblaze.com 1-6,text,true,,22049,138,9,9,https://www.demoblaze.com/prod.html?idp_=2,332,0,170
1598714901108,71,https://www.demoblaze.com//prod.html?idp_=8 10 uses 10 threads - 10,200,OK,https://www.demoblaze.com 1-4,text,true,,22049,138,10,10,https://www.demoblaze.com/prod.html?idp_=8,56,0,0
1598714901128,67,https://www.demoblaze.com//index.html 10 uses 10 threads - 1,200,OK,https://www.demoblaze.com 1-1,text,true,,19902,132,10,10,https://www.demoblaze.com/index.html,55,0,0
1598714901149,57,https://www.demoblaze.com//prod.html?idp_=1 10 uses 10 threads - 2,200,OK,https://www.demoblaze.com 1-6,text,true,,5284,138,10,10,https://www.demoblaze.com/prod.html?idp_=1,55,0,0
1598714901054,188,https://www.demoblaze.com//prod.html?idp_=3 10 uses 10 threads - 6,200,OK,https://www.demoblaze.com 1-3,text,true,,22049,138,10,10,https://www.demoblaze.com/prod.html?idp_=3,172,0,0
1598714901181,70,https://www.demoblaze.com//prod.html?idp_=5 10 uses 10 threads - 4,200,OK,https://www.demoblaze.com 1-4,text,true,,22049,138,10,10,https://www.demoblaze.com/prod.html?idp_=5,54,0,0
1598714901067,186,https://www.demoblaze.com//prod.html?idp_=7 10 uses 10 threads - 9,200,OK,https://www.demoblaze.com 1-2,text,true,,22049,138,10,10,https://www.demoblaze.com/prod.html?idp_=7,171,0,0
1598714901196,72,https://www.demoblaze.com//prod.html?idp_=4 10 uses 10 threads - 5,200,OK,https://www.demoblaze.com 1-1,text,true,,22049,138,10,10,https://www.demoblaze.com/prod.html?idp_=4,55,0,0
